ID,Hora de inicio,Hora de finalización,Correo electrónico,Nombre,Total de puntos,Comentarios del cuestionario,¿En que Ciudad o Municipio resides?,Puntos: ¿En que Ciudad o Municipio resides?,Comentarios: ¿En que Ciudad o Municipio resides?,¿Qué edad tienes?,Puntos: ¿Qué edad tienes?,Comentarios: ¿Qué edad tienes?,Sexo,Puntos: Sexo,Comentarios: Sexo,¿Comparas precios al momento de realizar una compra?,Puntos: ¿Comparas precios al momento de realizar una compra?,Comentarios: ¿Comparas precios al momento de realizar una compra?,¿Cuántas opciones revisas?,Puntos: ¿Cuántas opciones revisas?,Comentarios: ¿Cuántas opciones revisas?,¿Realizas compras por internet y/o plataformas digitales?,Puntos: ¿Realizas compras por internet y/o plataformas digitales?,Comentarios: ¿Realizas compras por internet y/o plataformas digitales?,¿ Cuales son las razones ?,Puntos: ¿ Cuales son las razones ?,Comentarios: ¿ Cuales son las razones ?,Ordena por orden de importancia los  factores más relevante al momento de realizar la compra final a través de una plataforma digital,Puntos: Ordena por orden de importancia los  factores más relevante al momento de realizar la compra final a través de una plataforma digital,Comentarios: Ordena por orden de importancia los  factores más relevante al momento de realizar la compra final a través de una plataforma digital,Usualmente- porque medio adquiere sus productos farmacéuticos en tiempo de pandemia.,Puntos: Usualmente- porque medio adquiere sus productos farmacéuticos en tiempo de pandemia.,Comentarios: Usualmente- porque medio adquiere sus productos farmacéuticos en tiempo de pandemia.,¿Cuál de estos factores es más relevante al momento de realizar la compra final de productos farmacéuticos  a través de una plataforma digital?,Puntos: ¿Cuál de estos factores es más relevante al momento de realizar la compra final de productos farmacéuticos  a través de una plataforma digital?,Comentarios: ¿Cuál de estos factores es más relevante al momento de realizar la compra final de productos farmacéuticos  a través de una plataforma digital?,¿ A través de que dispositivos realizas las compras por internet?,Puntos: ¿ A través de que dispositivos realizas las compras por internet?,Comentarios: ¿ A través de que dispositivos realizas las compras por internet?
53,5/21/21 17:34:04,5/21/21 17:34:58,anonymous,,,,Barranquilla,,,24,,,,,,Si,,,2 a 4,,,Si,,,,,,Calidad;Precio.;Distancia / Tiempo de Domicilio.;,,,Presencial en el punto de venta.,,,,,,Computador de mesa. ,,
54,5/21/21 17:36:48,5/21/21 17:38:00,anonymous,,,,Medellín,,,26,,,,,,Si,,,2 a 4,,,Si,,,,,,Precio.;Calidad;Distancia / Tiempo de Domicilio.;,,,Servicios a domicilio a través de plataforma digital.,,,Distancia / tiempo del domicilio ,,,Portatil.,,
55,5/21/21 17:34:49,5/21/21 17:40:06,anonymous,,,,Bogotá,,,46,,,,,,Si,,,2 a 4,,,Si,,,,,,Precio.;Calidad;Distancia / Tiempo de Domicilio.;,,,Servicios a domicilio a través de llamada telefónica. ,,,,,,Smartphone.,,
56,5/21/21 17:27:39,5/21/21 17:48:59,anonymous,,,,Barranquilla,,,31,,,,,,Si,,,2 a 4,,,Si,,,,,,Calidad;Precio.;Distancia / Tiempo de Domicilio.;,,,Servicios a domicilio a través de plataforma digital.,,,Distancia / tiempo del domicilio ,,,Smartphone.,,
57,5/21/21 17:56:51,5/21/21 17:58:19,anonymous,,,,Galapa,,,20,,,,,,Si,,,2 a 4,,,Si,,,,,,Precio.;Calidad;Distancia / Tiempo de Domicilio.;,,,Presencial en el punto de venta.,,,,,,Smartphone.,,
58,5/21/21 17:58:16,5/21/21 18:00:06,anonymous,,,,Barranquilla,,,22,,,,,,Si,,,4 a 8,,,Si,,,,,,Precio.;Calidad;Distancia / Tiempo de Domicilio.;,,,Servicios a domicilio a través de llamada telefónica. ,,,,,,Portatil.,,
59,5/21/21 18:02:45,5/21/21 18:04:28,anonymous,,,,Soledad Atlántico ,,,23,,,,,,Si,,,1,,,Si,,,,,,Calidad;Precio.;Distancia / Tiempo de Domicilio.;,,,Servicios a domicilio a través de llamada telefónica. ,,,,,,Smartphone.,,
60,5/21/21 18:14:26,5/21/21 18:15:15,anonymous,,,,Barranquilla,,,27,,,,,,Si,,,2 a 4,,,Si,,,,,,Precio.;Calidad;Distancia / Tiempo de Domicilio.;,,,Servicios a domicilio a través de plataforma digital.,,,Precio,,,Smartphone.,,
61,5/21/21 18:18:02,5/21/21 18:21:29,anonymous,,,,Atlántico ,,,21,,,,,,Si,,,2 a 4,,,Si,,,,,,Precio.;Distancia / Tiempo de Domicilio.;Calidad;,,,Servicios a domicilio a través de llamada telefónica. ,,,,,,Smartphone.,,
62,5/21/21 18:34:43,5/21/21 18:36:30,anonymous,,,,Barranquilla,,,45,,,,,,Si,,,2 a 4,,,Si,,,,,,Calidad;Precio.;Distancia / Tiempo de Domicilio.;,,,Servicios a domicilio a través de plataforma digital.,,,Precio,,,Portatil.,,
63,5/21/21 18:36:42,5/21/21 18:37:33,anonymous,,,,Barranquilla ,,,49,,,,,,Si,,,2 a 4,,,Si,,,,,,Calidad;Precio.;Distancia / Tiempo de Domicilio.;,,,Servicios a domicilio a través de llamada telefónica. ,,,,,,Smartphone.,,
64,5/21/21 18:37:03,5/21/21 18:37:54,anonymous,,,,Barranquilla ,,,49,,,,,,Si,,,2 a 4,,,Si,,,,,,Calidad;Precio.;Distancia / Tiempo de Domicilio.;,,,Servicios a domicilio a través de llamada telefónica. ,,,,,,Smartphone.,,
65,5/21/21 18:37:03,5/21/21 18:38:00,anonymous,,,,Popayán,,,25,,,,,,Si,,,2 a 4,,,Si,,,,,,Calidad;Precio.;Distancia / Tiempo de Domicilio.;,,,Presencial en el punto de venta.,,,,,,Smartphone.,,
66,5/21/21 18:44:31,5/21/21 18:45:50,anonymous,,,,Popayán- Cauca,,,25,,,,,,Si,,,4 a 8,,,Si,,,,,,Calidad;Precio.;Distancia / Tiempo de Domicilio.;,,,Presencial en el punto de venta.,,,,,,Portatil.,,
67,5/21/21 18:45:37,5/21/21 18:47:04,anonymous,,,,POPAYAN,,,36,,,,,,Si,,,2 a 4,,,Si,,,,,,Calidad;Distancia / Tiempo de Domicilio.;Precio.;,,,Servicios a domicilio a través de llamada telefónica. ,,,,,,Portatil.,,
68,5/21/21 18:47:52,5/21/21 18:50:34,anonymous,,,,Bogota,,,53,,,,,,Si,,,2 a 4,,,Si,,,,,,Distancia / Tiempo de Domicilio.;Calidad;Precio.;,,,Presencial en el punto de venta.,,,,,,Computador de mesa. ,,
70,5/21/21 18:56:04,5/21/21 18:57:13,anonymous,,,,Soledad,,,26,,,,,,Si,,,2 a 4,,,Si,,,,,,Precio.;Calidad;Distancia / Tiempo de Domicilio.;,,,Servicios a domicilio a través de plataforma digital.,,,Precio,,,Computador de mesa. ,,
17,5/21/21 17:06:00,5/21/21 17:06:36,anonymous,,,,Barranquilla ,,,24,,,,,,Si,,,2 a 4,,,No,,,Otros;,,,,,,Presencial en el punto de venta.,,,,,,Portatil.,,
